0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
899,重庆,2020-05-17,2020年05月17日,3,58,226,34,62,10,48,0.79,75,多云/多云,西北风1-2级/西北风1-2级,23℃/31℃,23,31
898,重庆,2020-05-16,2020年05月16日,2,49,185,28,49,6,39,0.78,76,多云/多云,北风1-2级/北风1-2级,22℃/30℃,22,30
897,重庆,2020-05-15,2020年05月15日,2,43,147,23,37,6,35,0.84,72,多云/小雨,西风1-2级/西风1-2级,18℃/32℃,18,32
896,重庆,2020-05-14,2020年05月14日,3,51,164,34,51,5,42,0.8,33,多云/多云,东北风1-2级/东北风1-2级,19℃/25℃,19,25
895,重庆,2020-05-13,2020年05月13日,3,60,183,37,69,7,43,0.69,42,阴/中雨,东风1-2级/东风1-2级,19℃/25℃,19,25
894,重庆,2020-05-12,2020年05月12日,3,55,201,30,61,7,42,0.73,54,阴/小雨,西北风1-2级/西北风1-2级,19℃/27℃,19,27
893,重庆,2020-05-11,2020年05月11日,2,49,143,27,51,7,42,0.62,60,小雨/阴,东风1-2级/东风1-2级,19℃/26℃,19,26
892,重庆,2020-05-10,2020年05月10日,2,46,157,22,44,8,32,0.5,85,多云/小雨,南风1-2级/南风1-2级,19℃/29℃,19,29
891,重庆,2020-05-09,2020年05月09日,2,42,218,21,43,6,32,0.59,47,阴/多云,东风1-2级/东风1-2级,19℃/27℃,19,27
890,重庆,2020-05-08,2020年05月08日,2,34,134,18,33,6,24,0.67,66,阴/阴,东北风1-2级/东北风1-2级,19℃/28℃,19,28
889,重庆,2020-05-07,2020年05月07日,2,40,143,17,34,8,26,0.66,91,多云/小雨,北风1-2级/北风1-2级,24℃/33℃,24,33
888,重庆,2020-05-06,2020年05月06日,2,34,82,14,28,6,24,0.65,91,多云/小雨,西南风1-2级/西南风1-2级,22℃/33℃,22,33
887,重庆,2020-05-05,2020年05月05日,3,62,309,25,51,9,35,0.69,114,多云/中雨,西北风1-2级/西北风1-2级,24℃/34℃,24,34
886,重庆,2020-05-04,2020年05月04日,3,65,257,30,63,10,44,0.72,98,小雨/小雨,西风1-2级/西风1-2级,25℃/31℃,25,31
885,重庆,2020-05-03,2020年05月03日,3,76,275,36,73,11,59,0.82,108,晴/多云,南风1-2级/南风1-2级,21℃/35℃,21,35
884,重庆,2020-05-02,2020年05月02日,3,73,282,39,71,9,58,0.91,97,晴/晴,东南风1-2级/东南风1-2级,21℃/32℃,21,32
883,重庆,2020-05-01,2020年05月01日,3,69,231,45,69,7,49,0.92,81,多云/晴,西北风1-2级/西北风1-2级,18℃/30℃,18,30
944,重庆,2020-04-30,2020年04月30日,3,75,257,54,79,7,49,0.87,84,小雨/多云,北风1-2级/北风1-2级,19℃/26℃,19,26
943,重庆,2020-04-29,2020年04月29日,3,67,198,33,78,13,71,0.92,85,多云/小雨,西北风1-2级/西北风1-2级,19℃/31℃,19,31
942,重庆,2020-04-28,2020年04月28日,3,69,261,33,76,11,74,0.91,84,晴/多云,西北风1-2级/西北风1-2级,17℃/31℃,17,31
941,重庆,2020-04-27,2020年04月27日,3,69,319,36,75,10,71,0.9,83,晴/晴,西北风1-2级/西北风1-2级,15℃/29℃,15,29
940,重庆,2020-04-26,2020年04月26日,2,50,165,27,54,10,53,0.82,57,晴/多云,西北风1-2级/西北风1-2级,13℃/26℃,13,26
939,重庆,2020-04-25,2020年04月25日,3,51,172,31,54,8,53,0.78,37,多云/多云,西北风1-2级/西北风1-2级,12℃/20℃,12,20
938,重庆,2020-04-24,2020年04月24日,2,40,122,26,40,5,36,0.63,48,阴/阴,东南风1-2级/东南风1-2级,11℃/18℃,11,18
937,重庆,2020-04-23,2020年04月23日,2,27,72,18,25,4,29,0.51,50,小雨/小雨,东南风1-2级/东南风1-2级,12℃/14℃,12,14
936,重庆,2020-04-22,2020年04月22日,2,21,35,14,18,4,27,0.55,43,小雨/小雨,东南风1-2级/东南风1-2级,12℃/14℃,12,14
935,重庆,2020-04-21,2020年04月21日,2,23,30,14,21,5,32,0.58,30,小雨/小雨,东南风1-2级/东南风1-2级,15℃/17℃,15,17
934,重庆,2020-04-20,2020年04月20日,2,35,80,23,34,5,33,0.69,33,小雨/小雨,西北风1-2级/西北风1-2级,17℃/19℃,17,19
933,重庆,2020-04-19,2020年04月19日,2,35,64,22,34,6,31,0.73,35,多云/小雨,东南风1-2级/东南风1-2级,16℃/24℃,16,24
932,重庆,2020-04-18,2020年04月18日,2,39,57,26,38,5,33,0.72,26,小雨/多云,东南风1-2级/东南风1-2级,17℃/22℃,17,22
931,重庆,2020-04-17,2020年04月17日,3,84,276,61,107,14,68,1.05,36,阴/小雨,西北风1-2级/西北风1-2级,20℃/25℃,20,25
930,重庆,2020-04-16,2020年04月16日,3,78,257,52,98,16,72,1.0,80,多云/中雨,东南风1-2级/东南风1-2级,17℃/29℃,17,29
929,重庆,2020-04-15,2020年04月15日,3,61,163,37,70,10,61,0.83,78,晴/多云,东南风1-2级/东南风1-2级,19℃/27℃,19,27
928,重庆,2020-04-14,2020年04月14日,3,60,161,40,69,9,49,0.78,56,晴/晴,西北风1-2级/西北风1-2级,15℃/26℃,15,26
927,重庆,2020-04-13,2020年04月13日,3,59,184,33,67,9,61,0.84,28,小雨/多云,东南风1-2级/东南风1-2级,15℃/21℃,15,21
926,重庆,2020-04-12,2020年04月12日,2,47,139,23,49,8,41,0.77,61,多云/多云,西北风1-2级/西北风1-2级,14℃/24℃,14,24
925,重庆,2020-04-11,2020年04月11日,2,32,41,19,30,6,31,0.7,58,小雨/多云,东南风3-4级/东南风3-4级,12℃/19℃,12,19
924,重庆,2020-04-10,2020年04月10日,3,52,141,34,54,6,44,0.79,42,阴/小雨,东南风1-2级/东南风1-2级,15℃/20℃,15,20
923,重庆,2020-04-09,2020年04月09日,3,54,148,34,60,9,52,0.96,49,多云/中雨,西北风1-2级/西北风1-2级,13℃/27℃,13,27
922,重庆,2020-04-08,2020年04月08日,3,61,197,43,65,7,52,0.99,47,多云/多云,西北风1-2级/西北风1-2级,15℃/21℃,15,21
921,重庆,2020-04-07,2020年04月07日,3,56,162,37,64,7,53,1.01,38,多云/小雨,东南风1-2级/东南风1-2级,12℃/21℃,12,21
920,重庆,2020-04-06,2020年04月06日,3,54,145,37,58,5,48,0.84,21,阴/阴,东南风1-2级/东南风1-2级,13℃/16℃,13,16
919,重庆,2020-04-05,2020年04月05日,2,49,143,34,45,5,38,0.78,16,小雨/阴,西北风1-2级/西北风1-2级,12℃/15℃,12,15
918,重庆,2020-04-04,2020年04月04日,3,52,141,36,52,6,40,0.74,18,阴/小雨,东南风1-2级/东南风1-2级,12℃/17℃,12,17
917,重庆,2020-04-03,2020年04月03日,3,51,157,33,52,9,40,0.72,25,阴/小雨,西北风1-2级/西北风1-2级,13℃/18℃,13,18
916,重庆,2020-04-02,2020年04月02日,2,50,190,31,51,9,45,0.81,17,阴/小雨,西北风1-2级/西北风1-2级,14℃/17℃,14,17
915,重庆,2020-04-01,2020年04月01日,2,47,178,30,48,7,44,0.79,25,阴/小雨,西北风1-2级/西北风1-2级,13℃/19℃,13,19
976,重庆,2020-03-31,2020年03月31日,2,44,174,28,44,7,36,0.67,40,多云/多云,北风1-2级/北风1-2级,13℃/22℃,13,22
975,重庆,2020-03-30,2020年03月30日,2,36,144,24,35,6,33,0.64,21,阴/阴,南风1-2级/南风1-2级,12℃/19℃,12,19
974,重庆,2020-03-29,2020年03月29日,2,29,117,18,28,5,28,0.51,35,阴/小雨,东南风1-2级/东南风1-2级,11℃/14℃,11,14
973,重庆,2020-03-28,2020年03月28日,2,22,71,14,20,5,23,0.61,31,小雨/小雨,西风1-2级/西风1-2级,12℃/16℃,12,16
972,重庆,2020-03-27,2020年03月27日,3,51,311,30,66,5,24,0.51,38,小雨/阴,北风1-2级/北风1-2级,12℃/17℃,12,17
971,重庆,2020-03-26,2020年03月26日,3,66,272,44,79,8,41,0.88,74,多云/大雨,东风1-2级/东风1-2级,19℃/29℃,19,29
970,重庆,2020-03-25,2020年03月25日,3,52,158,35,55,8,31,0.76,79,多云/多云,西风1-2级/西风1-2级,16℃/27℃,16,27
969,重庆,2020-03-24,2020年03月24日,3,52,145,33,55,8,36,0.79,69,多云/小雨,西南风1-2级/西南风1-2级,18℃/25℃,18,25
968,重庆,2020-03-23,2020年03月23日,3,59,206,38,67,10,43,0.85,68,多云/多云,北风1-2级/北风1-2级,18℃/26℃,18,26
967,重庆,2020-03-22,2020年03月22日,3,57,194,37,61,10,35,0.65,76,多云/多云,西北风1-2级/西北风1-2级,17℃/25℃,17,25
966,重庆,2020-03-21,2020年03月21日,3,71,235,50,85,13,46,0.83,84,多云/多云,北风1-2级/北风1-2级,16℃/27℃,16,27
965,重庆,2020-03-20,2020年03月20日,3,64,175,42,79,11,58,0.88,73,多云/多云,西风1-2级/西风1-2级,15℃/27℃,15,27
964,重庆,2020-03-19,2020年03月19日,3,60,184,38,70,10,56,0.76,64,晴/多云,西北风1-2级/西北风1-2级,14℃/24℃,14,24
963,重庆,2020-03-18,2020年03月18日,3,55,122,33,60,8,41,0.69,51,晴/多云,南风1-2级/南风1-2级,11℃/22℃,11,22
962,重庆,2020-03-17,2020年03月17日,3,56,150,38,58,6,34,0.65,41,多云/多云,东北风1-2级/东北风1-2级,12℃/18℃,12,18
961,重庆,2020-03-16,2020年03月16日,3,89,349,66,95,8,44,0.91,12,小雨/小雨,西南风1-2级/西南风1-2级,13℃/17℃,13,17
960,重庆,2020-03-15,2020年03月15日,3,72,302,52,83,8,43,0.9,19,多云/小雨,西南风1-2级/西南风1-2级,13℃/19℃,13,19
959,重庆,2020-03-14,2020年03月14日,3,52,196,34,53,6,34,0.72,35,阴/阴,北风1-2级/北风1-2级,12℃/17℃,12,17
958,重庆,2020-03-13,2020年03月13日,3,77,300,56,85,10,51,0.98,22,阴/阴,西北风1-2级/西北风1-2级,13℃/18℃,13,18
957,重庆,2020-03-12,2020年03月12日,3,57,161,37,62,7,37,0.72,34,多云/小雨,西北风1-2级/西北风1-2级,12℃/18℃,12,18
956,重庆,2020-03-11,2020年03月11日,3,60,190,39,71,7,39,0.68,35,小雨/小雨,东风1-2级/东风1-2级,12℃/15℃,12,15
955,重庆,2020-03-10,2020年03月10日,3,56,229,31,64,7,34,0.59,43,多云/阴,北风1-2级/北风1-2级,11℃/19℃,11,19
954,重庆,2020-03-09,2020年03月09日,3,69,278,45,73,6,29,0.68,42,多云/多云,东风1-2级/东风1-2级,12℃/18℃,12,18
953,重庆,2020-03-08,2020年03月08日,3,61,178,44,60,7,33,0.87,38,阴/小雨,北风1-2级/北风1-2级,14℃/17℃,14,17
952,重庆,2020-03-07,2020年03月07日,3,68,229,49,71,8,35,0.88,40,阴/阴,西北风1-2级/西北风1-2级,10℃/16℃,10,16
951,重庆,2020-03-06,2020年03月06日,3,52,191,35,54,8,33,0.7,36,阴/阴,北风1-2级/北风1-2级,11℃/16℃,11,16
950,重庆,2020-03-05,2020年03月05日,2,38,124,25,36,7,28,0.67,28,阴/阴,西南风1-2级/西南风1-2级,10℃/15℃,10,15
949,重庆,2020-03-04,2020年03月04日,2,30,85,20,28,5,26,0.65,27,小雨/阴,东南风1-2级/东南风1-2级,10℃/13℃,10,13
948,重庆,2020-03-03,2020年03月03日,2,30,84,20,27,5,22,0.62,39,小雨/小雨,东风1-2级/东风1-2级,10℃/12℃,10,12
947,重庆,2020-03-02,2020年03月02日,2,47,196,31,45,6,23,0.66,55,小雨/小雨,西北风1-2级/西北风1-2级,11℃/13℃,11,13
946,重庆,2020-03-01,2020年03月01日,3,59,255,41,56,8,35,1.2,30,阴/小雨,北风1-2级/北风1-2级,10℃/18℃,10,18
1006,重庆,2020-02-29,2020年02月29日,2,41,154,28,38,6,27,0.99,32,多云/多云,东南风1-2级/东南风1-2级,10℃/18℃,10,18
1005,重庆,2020-02-28,2020年02月28日,2,28,108,19,26,4,21,0.8,21,小雨/多云,北风1-2级/北风1-2级,10℃/15℃,10,15
1004,重庆,2020-02-27,2020年02月27日,3,65,262,47,61,6,31,1.02,9,小雨/小雨,西南风1-2级/西南风1-2级,12℃/15℃,12,15
1003,重庆,2020-02-26,2020年02月26日,3,61,193,43,57,7,31,1.02,15,阴/小雨,北风1-2级/北风1-2级,11℃/15℃,11,15
1002,重庆,2020-02-25,2020年02月25日,3,68,202,49,64,5,30,0.98,21,阴/阴,西南风1-2级/西南风1-2级,11℃/17℃,11,17
1001,重庆,2020-02-24,2020年02月24日,3,69,204,50,62,5,25,0.9,20,小雨/阴,北风1-2级/北风1-2级,10℃/14℃,10,14
1000,重庆,2020-02-23,2020年02月23日,4,106,347,79,98,6,31,1.01,15,阴/阴,西南风1-2级/西南风1-2级,11℃/15℃,11,15
999,重庆,2020-02-22,2020年02月22日,3,91,335,67,83,7,27,0.85,29,阴/阴,东风1-2级/东风1-2级,10℃/13℃,10,13
998,重庆,2020-02-21,2020年02月21日,4,112,325,84,107,5,21,0.72,31,阴/阴,北风1-2级/北风1-2级,8℃/14℃,8,14
997,重庆,2020-02-20,2020年02月20日,3,92,257,68,84,6,25,0.67,33,小雨/小雨,东北风1-2级/东北风1-2级,8℃/12℃,8,12
996,重庆,2020-02-19,2020年02月19日,4,114,339,85,105,6,23,0.74,45,多云/阴,西风1-2级/西风1-2级,8℃/14℃,8,14
995,重庆,2020-02-18,2020年02月18日,3,75,330,55,77,8,29,0.69,36,阴/小雨,东南风1-2级/东南风1-2级,9℃/12℃,9,12
994,重庆,2020-02-17,2020年02月17日,3,51,306,33,52,6,24,0.55,46,多云/多云,东北风1-2级/东北风1-2级,6℃/13℃,6,13
993,重庆,2020-02-16,2020年02月16日,2,46,298,24,46,5,11,0.42,63,晴/晴,西北风1-2级/西北风1-2级,3℃/10℃,3,10
992,重庆,2020-02-15,2020年02月15日,2,43,284,28,45,5,9,0.44,59,小雨/阴,东风1-2级/东风1-2级,4℃/8℃,4,8
991,重庆,2020-02-14,2020年02月14日,4,103,335,77,90,6,25,0.91,46,小雨/中雨,东北风1-2级/东北风1-2级,4℃/14℃,4,14
990,重庆,2020-02-13,2020年02月13日,3,82,270,60,70,5,24,0.84,50,多云/阴,西北风1-2级/西北风1-2级,11℃/19℃,11,19
989,重庆,2020-02-12,2020年02月12日,3,69,242,50,62,6,24,0.84,44,多云/多云,东北风1-2级/东北风1-2级,8℃/18℃,8,18
988,重庆,2020-02-11,2020年02月11日,3,76,264,55,68,6,26,0.87,27,阴/多云,东风1-2级/东风1-2级,10℃/15℃,10,15
987,重庆,2020-02-10,2020年02月10日,3,78,271,57,69,7,28,0.96,25,阴/小雨,东风1-2级/东风1-2级,10℃/12℃,10,12
986,重庆,2020-02-09,2020年02月09日,3,83,260,61,73,5,21,0.93,26,阴/小雨,西北风1-2级/西北风1-2级,10℃/13℃,10,13
985,重庆,2020-02-08,2020年02月08日,3,56,190,39,49,6,22,0.83,23,阴/阴,东风1-2级/东风1-2级,9℃/12℃,9,12
984,重庆,2020-02-07,2020年02月07日,2,44,183,31,38,5,16,0.78,33,阴/阴,南风1-2级/南风1-2级,9℃/12℃,9,12
983,重庆,2020-02-06,2020年02月06日,3,56,257,40,48,5,15,0.76,36,小雨/阴,北风1-2级/北风1-2级,8℃/10℃,8,10
982,重庆,2020-02-05,2020年02月05日,3,54,226,38,46,7,21,0.79,34,小雨/小雨,西风1-2级/西风1-2级,8℃/11℃,8,11
981,重庆,2020-02-04,2020年02月04日,2,46,185,32,40,6,19,0.76,35,多云/阴,南风1-2级/南风1-2级,7℃/14℃,7,14
980,重庆,2020-02-03,2020年02月03日,3,51,166,36,44,5,18,0.7,28,小雨/多云,北风1-2级/北风1-2级,8℃/10℃,8,10
979,重庆,2020-02-02,2020年02月02日,3,62,231,44,55,5,19,0.78,25,小雨/小雨,东风1-2级/东风1-2级,8℃/10℃,8,10
978,重庆,2020-02-01,2020年02月01日,3,54,121,38,46,7,21,0.85,28,小雨/小雨,西南风1-2级/西南风1-2级,8℃/10℃,8,10
1038,重庆,2020-01-31,2020年01月31日,3,75,204,55,65,7,26,0.97,28,阴/小雨,西风1-2级/西风1-2级,8℃/11℃,8,11
1037,重庆,2020-01-30,2020年01月30日,3,73,213,53,67,9,27,0.93,32,阴/小雨,东南风1-2级/东南风1-2级,6℃/14℃,6,14
1036,重庆,2020-01-29,2020年01月29日,2,49,127,34,42,7,19,0.8,40,多云/多云,东北风1-2级/东北风1-2级,6℃/15℃,6,15
1035,重庆,2020-01-28,2020年01月28日,2,31,68,21,26,6,18,0.76,32,多云/多云,西南风1-2级/西南风1-2级,7℃/13℃,7,13
1034,重庆,2020-01-27,2020年01月27日,2,44,132,30,36,7,18,0.79,33,阴/阴,西南风1-2级/西南风1-2级,7℃/10℃,7,10
1033,重庆,2020-01-26,2020年01月26日,3,54,184,38,46,5,16,0.75,29,阴/阴,西风1-2级/西风1-2级,7℃/12℃,7,12
1032,重庆,2020-01-25,2020年01月25日,3,52,143,36,44,5,17,0.72,24,小雨/阴,北风1-2级/北风1-2级,7℃/9℃,7,9
1031,重庆,2020-01-24,2020年01月24日,3,76,245,55,68,5,22,0.88,18,小雨/小雨,东南风1-2级/东南风1-2级,9℃/10℃,9,10
1030,重庆,2020-01-23,2020年01月23日,3,88,218,65,83,7,34,1.03,20,阴/小雨,西北风1-2级/西北风1-2级,10℃/12℃,10,12
1029,重庆,2020-01-22,2020年01月22日,3,83,206,61,80,8,38,1.01,21,阴/小雨,北风1-2级/北风1-2级,10℃/13℃,10,13
1028,重庆,2020-01-21,2020年01月21日,3,83,188,61,80,8,35,0.98,22,阴/阴,西风1-2级/西风1-2级,9℃/13℃,9,13
1027,重庆,2020-01-20,2020年01月20日,3,88,232,65,84,8,40,1.02,25,阴/阴,西北风1-2级/西北风1-2级,7℃/11℃,7,11
1026,重庆,2020-01-19,2020年01月19日,3,92,218,68,93,7,43,1.14,19,多云/阴,北风1-2级/北风1-2级,6℃/12℃,6,12
1025,重庆,2020-01-18,2020年01月18日,3,71,147,51,72,9,43,1.13,9,阴/阴,南风1-2级/南风1-2级,8℃/11℃,8,11
1024,重庆,2020-01-17,2020年01月17日,3,73,177,53,76,9,41,1.06,10,阴/阴,西南风1-2级/西南风1-2级,7℃/11℃,7,11
1023,重庆,2020-01-16,2020年01月16日,3,66,190,47,71,8,41,0.96,6,阴/阴,南风1-2级/南风1-2级,8℃/12℃,8,12
1022,重庆,2020-01-15,2020年01月15日,2,45,58,30,44,9,37,0.82,18,阴/阴,南风1-2级/南风1-2级,8℃/10℃,8,10
1021,重庆,2020-01-14,2020年01月14日,3,67,134,48,69,10,44,0.95,8,阴/小雨,西南风1-2级/西南风1-2级,9℃/12℃,9,12
1020,重庆,2020-01-13,2020年01月13日,3,68,166,49,74,10,55,1.09,11,阴/阴,东南风1-2级/东南风1-2级,9℃/12℃,9,12
1019,重庆,2020-01-12,2020年01月12日,3,60,176,42,63,9,44,1.17,21,晴/多云,西南风1-2级/西南风1-2级,5℃/14℃,5,14
1018,重庆,2020-01-11,2020年01月11日,3,57,179,39,60,8,42,1.23,18,阴/多云,北风1-2级/北风1-2级,6℃/13℃,6,13
1017,重庆,2020-01-10,2020年01月10日,2,47,132,32,47,7,38,1.24,10,阴/小雨,东南风1-2级/东南风1-2级,9℃/11℃,9,11
1016,重庆,2020-01-09,2020年01月09日,2,39,66,26,36,6,39,1.12,9,小雨/小雨,北风1-2级/北风1-2级,8℃/12℃,8,12
1015,重庆,2020-01-08,2020年01月08日,3,56,167,40,57,7,51,1.07,18,小雨/小雨,西风1-2级/西风1-2级,9℃/11℃,9,11
1014,重庆,2020-01-07,2020年01月07日,3,54,212,37,53,7,41,0.98,30,多云/阴,西北风1-2级/西北风1-2级,7℃/13℃,7,13
1013,重庆,2020-01-06,2020年01月06日,3,64,202,46,60,6,40,0.97,9,小雨/阴,北风1-2级/北风1-2级,7℃/10℃,7,10
1012,重庆,2020-01-05,2020年01月05日,3,61,114,43,54,7,38,1.0,11,小雨/小雨,北风1-2级/北风1-2级,9℃/12℃,9,12
1011,重庆,2020-01-04,2020年01月04日,4,119,217,90,126,11,55,1.09,9,小雨/小雨,西北风1-2级/西北风1-2级,10℃/12℃,10,12
1010,重庆,2020-01-03,2020年01月03日,4,110,221,82,124,11,62,1.08,13,阴/小雨,西北风1-2级/西北风1-2级,10℃/13℃,10,13
1009,重庆,2020-01-02,2020年01月02日,3,96,212,72,110,10,60,1.09,8,阴/阴,北风1-2级/北风1-2级,10℃/13℃,10,13
1008,重庆,2020-01-01,2020年01月01日,3,89,264,66,91,10,50,0.99,15,阴/多云,西南风1-2级/西南风1-2级,10℃/12℃,10,12
1070,重庆,2019-12-31,2019年12月31日,4,124,338,94,127,10,48,1.13,7,阴/阴,西南风1-2级/西南风1-2级,9℃/12℃,9,12
1069,重庆,2019-12-30,2019年12月30日,4,134,345,102,138,10,48,1.13,6,阴/小雨,北风1-2级/北风1-2级,10℃/12℃,10,12
1068,重庆,2019-12-29,2019年12月29日,3,83,185,61,85,8,48,0.99,10,阴/阴,东南风1-2级/东南风1-2级,8℃/12℃,8,12
1067,重庆,2019-12-28,2019年12月28日,3,76,159,55,79,7,47,0.83,5,小雨/阴,北风1-2级/北风1-2级,6℃/9℃,6,9
1066,重庆,2019-12-27,2019年12月27日,3,56,129,38,61,7,44,0.65,16,阴/小雨,西北风1-2级/西北风1-2级,6℃/8℃,6,8
1065,重庆,2019-12-26,2019年12月26日,3,61,215,41,61,13,36,0.7,21,阴/阴,东风1-2级/东风1-2级,7℃/10℃,7,10
1064,重庆,2019-12-25,2019年12月25日,3,75,219,54,79,9,41,0.96,6,阴/小雨,东风1-2级/东风1-2级,9℃/12℃,9,12
1063,重庆,2019-12-24,2019年12月24日,3,70,188,50,78,9,43,1.02,6,阴/阴,西南风1-2级/西南风1-2级,10℃/13℃,10,13
1062,重庆,2019-12-23,2019年12月23日,3,66,167,47,71,8,45,0.96,9,阴/阴,东北风1-2级/东北风1-2级,9℃/13℃,9,13
1061,重庆,2019-12-22,2019年12月22日,3,52,137,36,51,6,36,0.86,10,阴/阴,西南风1-2级/西南风1-2级,9℃/12℃,9,12
1060,重庆,2019-12-21,2019年12月21日,3,52,140,36,49,6,38,0.87,6,小雨/阴,北风1-2级/北风1-2级,8℃/11℃,8,11
1059,重庆,2019-12-20,2019年12月20日,2,42,105,29,41,6,34,0.89,6,小雨/小雨,南风1-2级/南风1-2级,8℃/10℃,8,10
1058,重庆,2019-12-19,2019年12月19日,2,41,107,28,38,5,36,0.77,14,阴/小雨,北风1-2级/北风1-2级,8℃/9℃,8,9
1057,重庆,2019-12-18,2019年12月18日,2,43,136,30,40,5,36,0.84,14,小雨/小雨,东北风1-2级/东北风1-2级,7℃/9℃,7,9
1056,重庆,2019-12-17,2019年12月17日,3,92,300,68,99,7,45,1.3,5,阴/小雨,北风1-2级/北风1-2级,9℃/12℃,9,12
1055,重庆,2019-12-16,2019年12月16日,3,94,281,70,94,7,49,1.1,14,阴/阴,西北风1-2级/西北风1-2级,11℃/14℃,11,14
1054,重庆,2019-12-15,2019年12月15日,4,101,291,75,100,8,44,1.19,6,阴/小雨,东风1-2级/东风1-2级,11℃/14℃,11,14
1053,重庆,2019-12-14,2019年12月14日,1,151,329,115,154,9,44,1.25,4,阴/小雨,北风1-2级/北风1-2级,11℃/14℃,11,14
1052,重庆,2019-12-13,2019年12月13日,4,146,328,111,155,9,57,1.44,5,阴/阴,西北风1-2级/西北风1-2级,10℃/15℃,10,15
1051,重庆,2019-12-12,2019年12月12日,4,142,342,108,145,10,62,1.28,8,阴/阴,西北风1-2级/西北风1-2级,10℃/13℃,10,13
1050,重庆,2019-12-11,2019年12月11日,4,135,311,103,142,11,65,1.31,9,阴/阴,东风1-2级/东风1-2级,9℃/12℃,9,12
1049,重庆,2019-12-10,2019年12月10日,4,128,278,97,138,11,73,1.26,16,多云/多云,东北风1-2级/东北风1-2级,8℃/16℃,8,16
1048,重庆,2019-12-09,2019年12月09日,4,129,278,97,138,12,66,1.28,15,多云/多云,西风1-2级/西风1-2级,8℃/15℃,8,15
1047,重庆,2019-12-08,2019年12月08日,4,105,243,78,119,13,63,1.14,8,多云/多云,西北风1-2级/西北风1-2级,9℃/14℃,9,14
1046,重庆,2019-12-07,2019年12月07日,3,76,203,55,84,10,58,1.08,21,晴/多云,西南风1-2级/西南风1-2级,7℃/15℃,7,15
1045,重庆,2019-12-06,2019年12月06日,3,75,251,55,83,9,57,1.03,16,多云/多云,西风1-2级/西风1-2级,7℃/15℃,7,15
1044,重庆,2019-12-05,2019年12月05日,3,84,269,62,87,9,49,0.88,16,多云/晴,北风1-2级/北风1-2级,8℃/13℃,8,13
1043,重庆,2019-12-04,2019年12月04日,3,94,309,70,106,11,56,1.02,6,小雨/小雨,东南风1-2级/东南风1-2级,9℃/12℃,9,12
1042,重庆,2019-12-03,2019年12月03日,3,76,266,56,89,11,56,1.03,6,阴/小雨,东风1-2级/东风1-2级,9℃/12℃,9,12
1041,重庆,2019-12-02,2019年12月02日,3,63,244,45,74,9,52,0.92,9,多云/阴,北风1-2级/北风1-2级,7℃/12℃,7,12
1040,重庆,2019-12-01,2019年12月01日,2,47,143,32,46,7,34,0.83,16,阴/多云,东北风1-2级/东北风1-2级,8℃/11℃,8,11
1101,重庆,2019-11-30,2019年11月30日,2,44,104,28,44,7,35,0.81,10,小雨/小雨,东北风1-2级/东北风1-2级,9℃/10℃,9,10
1100,重庆,2019-11-29,2019年11月29日,2,30,32,18,29,6,35,0.69,17,阴/小雨,南风1-2级/南风1-2级,10℃/11℃,10,11
1099,重庆,2019-11-28,2019年11月28日,2,36,131,23,35,6,29,0.79,6,阴/阴,西南风1-2级/西南风1-2级,10℃/12℃,10,12
1098,重庆,2019-11-27,2019年11月27日,2,37,129,24,36,6,30,0.77,6,阴/阴,北风1-2级/北风1-2级,10℃/12℃,10,12
1097,重庆,2019-11-26,2019年11月26日,2,30,51,20,29,5,33,0.71,6,阴/阴,西南风1-2级/西南风1-2级,9℃/12℃,9,12
1096,重庆,2019-11-25,2019年11月25日,2,27,77,17,26,5,31,0.51,25,阴/阴,西北风1-2级/西北风1-2级,8℃/11℃,8,11
1095,重庆,2019-11-24,2019年11月24日,2,38,101,27,36,5,32,0.68,11,小雨/小雨,东风1-2级/东风1-2级,8℃/12℃,8,12
1094,重庆,2019-11-23,2019年11月23日,3,70,190,51,75,8,40,0.82,5,阴/小雨,东北风1-2级/东北风1-2级,12℃/16℃,12,16
1093,重庆,2019-11-22,2019年11月22日,3,66,190,48,79,8,43,0.79,5,阴/阴,北风1-2级/北风1-2级,13℃/16℃,13,16
1092,重庆,2019-11-21,2019年11月21日,3,61,159,42,70,8,40,0.77,8,多云/多云,西南风1-2级/西南风1-2级,11℃/16℃,11,16
1091,重庆,2019-11-20,2019年11月20日,3,67,194,46,84,7,38,0.77,3,阴/晴,西南风1-2级/西南风1-2级,9℃/14℃,9,14
1090,重庆,2019-11-19,2019年11月19日,3,58,163,32,65,6,43,0.69,5,阴/阴,东风1-2级/东风1-2级,10℃/13℃,10,13
1089,重庆,2019-11-18,2019年11月18日,2,33,51,19,32,4,32,0.55,24,小雨/阴,东风1-2级/东风1-2级,8℃/11℃,8,11
1088,重庆,2019-11-17,2019年11月17日,3,67,149,49,72,7,40,0.81,16,小雨/小雨,西北风1-2级/西北风1-2级,9℃/14℃,9,14
1087,重庆,2019-11-16,2019年11月16日,3,88,273,65,111,11,57,0.97,7,阴/小雨,东北风1-2级/东北风1-2级,15℃/18℃,15,18
1086,重庆,2019-11-15,2019年11月15日,3,62,152,39,75,9,58,0.9,16,多云/阴,东风1-2级/东风1-2级,13℃/20℃,13,20
